gvkey,iid,datadate,prccd,cshtrd
025434,01,2020-02-12,88.57,7739357.0
025434,01,2020-02-13,89.925,8574520.0
025434,01,2020-02-14,89.28,5686292.0
025434,01,2020-02-18,89.23,5288206.0
025434,01,2020-02-19,90.14,5208083.0
025434,01,2020-02-20,88.6,5967768.0
025434,01,2020-02-21,87.36,5800430.0
025434,01,2020-02-24,84.52,8310324.0
025434,01,2020-02-25,82.19,9397314.0
025434,01,2020-02-26,80.67,10539530.0
025434,01,2020-02-27,78.29,17106800.0
025434,01,2020-02-28,78.43,19107620.0
025434,01,2020-03-02,82.38,14251760.0
025434,01,2020-03-03,78.6,12385990.0
025434,01,2020-03-04,79.67,10987610.0
025434,01,2020-03-05,76.19,12541000.0
025434,01,2020-03-06,75.34,18068850.0
025434,01,2020-03-09,70.83,15920010.0
025434,01,2020-03-10,74.87,18390810.0
025434,01,2020-03-11,68.3,17126540.0
025434,01,2020-03-12,62.1,25138520.0
025434,01,2020-03-13,69.92,19212220.0
025434,01,2020-03-16,58.59,23337020.0
025434,01,2020-03-17,58.98,25037850.0
025434,01,2020-03-18,56.33,28359290.0
025434,01,2020-03-19,61.41,25131860.0
025434,01,2020-03-20,58.03,28031030.0
025434,01,2020-03-23,56.55,24861890.0
025434,01,2020-03-24,64.88,28240040.0
025434,01,2020-03-25,65.81,22956570.0
025434,01,2020-03-26,69.9,20989000.0
025434,01,2020-03-27,66.34,18937630.0
025434,01,2020-03-30,67.86,14184400.0
025434,01,2020-03-31,65.74,20081760.0
025434,01,2020-04-01,62.62,12860560.0
025434,01,2020-04-02,65.0,18155630.0
025434,01,2020-04-03,63.05,14657970.0
025434,01,2020-04-06,67.79,17963950.0
025434,01,2020-04-07,68.71,13791260.0
025434,01,2020-04-08,71.57,10179630.0
025434,01,2020-04-09,73.88,19716490.0
025434,01,2020-04-13,71.76,11162520.0
025434,01,2020-04-14,73.67,10892800.0
025434,01,2020-04-15,72.55,10636900.0
025434,01,2020-04-16,73.51,11866510.0
025434,01,2020-04-17,77.1,14263290.0
025434,01,2020-04-20,75.32,9679665.0
025434,01,2020-04-21,72.72,10336230.0
025434,01,2020-04-22,77.45,11345250.0
025434,01,2020-04-23,75.15,15497690.0
025434,01,2020-04-24,75.58,8452867.0
025434,01,2020-04-27,77.74,8230220.0
025434,01,2020-04-28,78.69,12680040.0
025434,01,2020-04-29,76.86,24494230.0
025434,01,2020-04-30,76.73,15158680.0
025434,01,2020-05-01,73.79,11202780.0
